,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1dux,0.56932803585698,0.04869472308863821,-0.008883157998997105,-0.06481935360294568,-0.014027536494252315,-0.17989021692239887,-0.000951267071070123,0.00021501558049410375,-0.04368384496811038,0.04101445268266284,-0.01244721811830316,-0.00646800087417671,0.020093190616946494,0.1108679085496661,-0.10003330728506872,0.0437775105536046,0.03519442079319404,0.03907177614673936,-0.01797994735801303,-0.0009904866512031676,-0.020315588706642112,0.040471992058626574,-0.015658302016411815,-0.0017422721715573731,0.05834335501046733,0.035608610319854,-0.0143272971282888,-0.005597479997498149,-0.03944090160681508,0.033414005657428844,-0.011654521192790562,-0.004312000582784473,0.03898333983859622,0.03242044296072505,-0.014255932872674161,-0.003495771909192049,0.03752052640077117,0.03918451321433749,-0.012755899284291477,-0.00941346824330588,-0.6238198742961073,0.09063506546699097,0.03500047612437926,-0.08441683948746549,0.04127745457296679,0.07666305159402505,-0.01697238865428136,-0.05376481508505318,-0.08432917219069752,0.04337854745217276,-0.010321516875092139,-0.009600799414294306,-0.006180544422142747,0.04334055829023997,-0.01563984574340803,-0.007490324596311408,0.012429992263499627,0.03544896355837125,-0.015956217023147923,-0.00269292403352737,0.11205510831063463,0.05732718337933389,-0.04790525601090128,0.011423971582518273,0.06524400168430779,0.036943767869402865,-0.017933806675503563,-0.0045543929682341925,0.023105408173439358,0.03210853194696107,-0.01599466759190581,3.4297907332035155e-05,-0.36100931402229985,0.02452961724023149,-0.025473963208925192,0.004189881576409424,0.024315524473387574,0.032401063874071066,-0.017144031993216565,-0.001711665518826095
7tdw,-0.005360343305925513,-0.14631488425206896,0.023180123656081894,-0.07697588035886309,0.1392833148023997,-0.11650773398270022,0.008707618756886986,-0.04859578358236644,0.04118800738172459,0.08185270152651933,0.015602330942981258,-0.118825264031961,0.0467008832325156,0.06642098999143109,0.0,-0.039858622949201165,0.03123118928506956,0.057812246085761264,0.0,-0.04434054760742299,0.058096812730727726,0.060586770874184306,0.0,-0.039903840106769985,0.08013203795716702,0.1030131254778604,0.032398394845779464,-0.12300875545022859,0.13292216507561758,0.12190726549185205,0.08537481665341358,-0.19951618605667867,-0.018610779159893676,0.08684527861755173,0.008775143045523097,-0.0650234783748373,0.07149254638435039,0.03729028839929196,-0.001345059713813949,-0.03739880957745714,0.16243691105937455,-0.03051736109091639,0.056306213291002306,-0.17777577669758815,0.07411634731421067,0.0819045505338649,0.027346131106756207,-0.09259750395574037,0.0636989171057879,0.05864243309872487,0.0,-0.03757425214882418,0.208726619605731,-0.10673901926153151,-0.011843880805860614,-0.01643613532855037,0.14780343307923466,-0.026042671177905576,-0.010152759112786599,-0.011204208750120317,0.03727581890886995,0.16718652129040384,0.0863364348710439,-0.21779476983230006,-0.6511554050764743,-0.07691257633826674,0.004712230714105704,-0.029697423300335053,0.12082989135084556,0.005274732154261873,-0.013070170119127119,-0.09705712148289493,0.13357389504004286,-0.10546148383635366,-0.013554295152830659,-0.016115394957528846,0.10280633234391232,-0.08574258286830667,0.004285983642090257,-0.025047290815957197
1hlo,0.0975445178560162,0.6152183243123572,-0.011805606480216365,-0.5762463064389571,0.2391746606787998,0.105438682243583,-0.14286141783988002,0.0018215002681032778,0.013522153337916664,-0.12508810065060313,0.06344693288735898,-0.018980832138950767,-0.01603411172423324,0.01134692703295297,0.005070807501718748,0.00974682024076722,-0.03574001929817191,-0.03942723558898602,0.007639727109273527,0.053411844808723304,0.002049030450176303,-0.016896240263360562,0.003913172958488287,0.03535356416181551,-0.1461525805565048,-0.11684461606649267,-0.016472492835751532,0.10458898446820657,0.006932432386992581,-0.03093513572985801,-0.0007460031764925398,0.04399042734563728,0.0794780549342344,-0.042305980181673426,0.0007212990004306691,-0.027086319510282494,-0.03705642144424586,-0.02745530863681171,0.010437121007540637,0.04242745549326428,-0.17331348464929255,0.1714622449590511,-0.011120183608079367,-0.10456081856046724,0.018234671611018344,-0.02305056978012416,-0.006651088012479048,0.042889124617885487,-0.016983255609616707,-0.027132895536488316,0.004292232577170112,0.042382138278577536,-0.06332687373872707,-0.002211574487577019,0.01086480222114678,0.022946717829800373,-0.059052579225703804,-0.029769790966073205,0.012032979310849503,0.04321326858404761,0.019352810942837792,0.0020974946936607375,-0.008828359886161239,0.021973027119794923,-0.023203358028252036,-0.014014033938995692,0.004077447861727734,0.031578703118985724,-0.009301043611574356,-0.033259688551272114,-0.002799911521305263,0.055125559340505684,-0.023096988454890093,-0.028047107402217414,0.007789053625723943,0.0389586430010099,-0.036413955515197334,-0.02895990310498755,0.008088021361504542,0.042598496508418765
1a0a,0.05265878970601649,0.23835240728159263,-0.1529944326496061,-0.10240602936652653,0.21466442549798423,-0.08659339221968469,-0.15379710009376246,0.04993883558295749,0.04755561239981192,0.009452802982090384,-0.04971139839095287,0.023713203417741226,0.009164302886395822,-0.016759112154036103,-0.028580536320563593,0.030835881393807742,0.008327121627110376,-0.01534714312740827,-0.028914612351620947,0.02880089375561864,0.3449735469419633,-0.10358613635305626,-0.14430757087249624,0.12826351417036566,-0.3684416137753261,-0.1353901745097163,-0.033385036380458616,0.05489953278055217,0.028978330164166986,-0.018670204045607906,-0.033476188251184195,0.02980798918169352,0.2651961907254673,0.26466919131753447,-0.05304198155091142,-0.3533696961993319,0.020361823471743354,-0.01866754913675182,-0.032870426547187484,0.037440852142937686,0.05751019315570235,-0.015350240521073703,-0.038894857226453534,0.0312482772361196,0.13263039675381602,-0.19663361200188342,0.054146866119852095,-0.05485439932999873,0.04987733019445819,0.020909177180906194,-0.043531213058796515,-0.009758117500540151,0.026426520268660023,-0.0023102131896032344,-0.032839452610533164,0.0208905928189136,0.02082156518865539,-0.018551175631893433,-0.026929183012078767,0.026089789328746584,0.0918244476357907,0.26245765224041573,-0.04207012821833111,-0.2299513906913212,0.018323738439888822,-0.02036536335021813,-0.03678818704915015,0.03770944042221162,0.0051279564555280375,-0.01322808337544315,-0.024048606903226622,0.028843814782125346,-0.010002369115299965,-0.0008106321707245978,-0.02873098115574174,0.021282191875186127,-0.005507165937138835,-0.015413958333619741,-0.023973826970446893,0.02667873660998809
6od3,-0.11361412113984638,-0.14790581613479464,0.029313405173094245,0.12757470861912393,-0.06975228909010113,0.13731752848196888,-0.13502878336560098,-0.16139740827396962,-0.25054999269963996,-0.41870795284896556,0.16302772540861188,0.0709710388854697,-0.03019197382466393,0.017683038588560997,-0.03242169571795767,0.07209048609607166,0.001869201665867961,0.024451566575143253,-0.04935537865681398,0.05330554774160642,0.06451996012569157,0.09536118940417095,-0.13872411569671525,0.044618765005114865,0.015430185972711175,-0.03638143613622159,-0.08976754260121299,0.10885716840452035,0.0010795666544707852,0.02552475234063305,-0.052794279012004806,0.07069267260367412,0.08560879820785451,0.2987093534780801,-0.104296826810921,-0.14884021756494795,-0.0817575329022674,0.07173953720211736,-0.02982387629157323,0.07112577544325864,0.14404338427349078,0.1393490440112907,-0.25197013930347095,0.037996598659534,0.05415580119832297,0.13880746605902938,-0.1617467619456787,0.03747735381870616,0.100719540925955,0.2647498635157045,-0.09178669515813415,-0.20708178173890934,-0.006140808033077633,0.04819605089008085,-0.05413984897587051,0.05439109647949688,-0.022272492988136095,0.042389043111821116,-0.04737052337816563,0.06338735233156631,0.0004362932840750052,0.04149531984892158,-0.053464671160569785,0.052037744862196506,-0.09388840046624682,0.05238271167273113,-0.05504753043341594,0.10258674856401642,-0.005878792779295843,0.014126889398344524,-0.04383232043820817,0.06543641530558586,-0.010968748158317132,0.04217967019213247,-0.04948818090873078,0.057955620586500896,-0.06494747968741771,0.10490101723630825,-0.100037583416112,0.10130299346215405
1an4,0.06453520092608338,-0.015222410849547233,0.05994900047423853,-0.09768116257854423,-0.0560799836321472,-0.13437227605353405,-0.16449021301260403,-0.23401852172280294,-0.30142623173847805,-0.22530436339923995,0.1170896609187054,0.01992789025964582,-0.05221398651051799,0.1097577796366779,-0.04260070641935878,0.050010345503285876,0.033810300154127275,0.04972196219915342,0.057721956633424984,0.04404564266048322,-0.027242408149016142,-0.15114304857003333,-0.008807014727773161,0.09589877257577788,-0.09436928416171406,-0.3068035989513983,0.1211640187522209,0.00032537487979343664,0.2712645088327073,0.14139690077854086,-0.32191428014384715,0.009032738832316636,0.08120254801675507,-0.045388663336011124,0.045411311239477024,-0.03826061318517671,-0.1934614111261839,0.04825211326421647,0.051712712913806066,0.09763888649207456,0.060790747553054504,0.05708253082557106,0.024282327166022948,0.066424791005255,-0.06689813218769232,0.10996463048833312,-0.07049990376888603,0.03871130646414814,-0.01210379454229274,0.05844517968410274,0.05713915058423581,0.06271657427777157,0.04708121665502942,0.0490802716009529,0.0381118919524173,0.044940234847386296,0.04650897962745767,0.03778651707262387,0.05441460779728799,0.04688116017441396,-0.2535953694787273,0.14958185309111727,0.004506177859598662,-0.08904174233641875,0.024354800457113832,0.12528744704324585,0.06573780460012268,-0.1713381840905768,0.03612944546903548,0.07268089687265224,0.036352904783232366,0.0532127590533642,0.042238339963904366,0.04911122373568963,0.04816529630093052,0.02630704973587445,-0.00437406508938091,-0.20533495198323998,0.0996975809171249,0.08039401786302242
1gu4,-0.1325718651753789,0.051166233021621696,0.2653989043144661,-0.13652492089168533,0.2705713148103719,0.2795310892038675,-0.36053640649845137,-0.19731412372590354,-0.2855940397073458,-0.013980193686185857,-0.088970084487311,0.09103545227410426,-0.011681487291639205,0.03336827719720293,0.07275240903209909,-0.0774756962261089,0.0027777997928513103,0.03226751837053512,0.06590424200271304,-0.08109223057416917,-0.011351388086909183,0.047189629372422714,0.07554605016162357,-0.0776097053714792,0.01299374937010549,0.12140543539773478,-0.00038789867637535256,-0.0780558316637343,-0.010678773494651262,0.026764580525664914,0.07139947325136388,-0.07354618844269502,-0.005711015942793408,0.03875561609878246,0.07161012021469353,-0.0801657264509062,-0.008453279764188698,0.09153638102836383,0.052194207328439816,-0.0883030357701004,-0.001411591540849379,0.021636697030137767,0.07518255570660959,-0.08127290744109014,0.0527178277271231,0.03797810616909412,0.07771502885314403,-0.13467876295290993,-0.0030663690068435706,0.0045927032025147975,0.08219042053543052,-0.0727091664644237,0.0013435166075782077,-0.0037466901953208723,0.08613320079011111,-0.08089999381291914,-0.00461924814504821,0.03114706490908446,0.08007624430591452,-0.08449811795889978,0.06875140116153874,0.2073952078693186,0.15477842218151622,-0.250707134910691,-0.002584706743132454,0.006485957007075294,0.08735127113700723,-0.07839149674351163,-0.016648388555028235,0.02587917824890528,0.08518057986854913,-0.07566079281644542,-0.0017348404378288395,0.044497886570687796,0.06161380862969162,-0.08213476178495724,0.008366794628837902,-0.2947049490155881,0.1210115427020777,-0.10671923186900703
8k8d,-0.19219548402378506,0.16641146716074595,0.14260223225576651,-0.019332155563400663,0.20873966766093924,0.17974143431583825,-0.4591636344717975,-0.22000340677418878,-0.41089521728949585,-0.05637462127037955,0.2439909993301832,-0.00471740871879386,-0.007305106164027787,0.004506553699161773,-0.0025506655600655683,0.005264573715975333,-0.005110400153233591,-0.003995664834390121,0.016412682657168574,-0.002127444015284318,-0.008219567001858701,-0.0017586366691178005,0.01028428353818437,0.004972853151179685,0.02844653383136829,-0.002763032085214731,0.006631730456170476,-0.016002308909282472,-0.019408486592012993,-0.0032897917579156792,0.011628767695623377,0.008216543990824549,-0.010953124729490452,0.0014880771815612157,0.012919593407206187,0.00439319078538108,0.041249741313759636,0.011797300560777338,0.012872736736176836,-0.0317907397878987,0.0011086892967751669,-0.0057338961790273976,0.011485930424259704,0.0004496728913300779,0.09676356019216446,0.029606614315724037,0.030591360160098977,-0.07194992987108809,-2.720709930736606e-05,-0.00553437745077338,0.010882083970187886,0.004199718079195366,-0.015320619921081243,-0.001918856253927845,0.011708877488028398,0.010533681948501893,0.002230982143204017,-0.0047408370543085354,0.013608084170234257,0.00501517530565781,0.28902479470594233,0.192951236782323,0.17669348344065472,-0.28204315072256875,-0.008800740873174381,-0.0024962513614508355,0.008689645217669304,0.0006030907013132809,-0.022027925653105514,-0.002212088324240568,0.01255456482483236,0.004565502414327732,0.002469800014902008,-0.0040130471478364935,0.007632347108474717,-0.0027849489152123315,0.15975328535802666,-0.08448484512419846,0.029156941424393956,-0.24280295599376156
2wty,0.12299828460039632,0.014600021363857258,-0.12294321250783984,0.003999326258626278,-0.17263234937286848,-0.20233623347628563,0.0757933087367996,-0.1997869872745597,0.10987155549774007,0.03886815338957173,-0.01663632336466458,-0.07285036534448396,0.0671843117888178,0.1056655951067118,-0.04702838105440734,-0.023458435722755997,0.10693817007190116,0.0926653952745572,-0.09095770526404556,-0.07589298467291421,-0.37056964256354774,0.069447729278763,-0.1574665874218401,0.033132918362264376,0.08048399457057703,0.0889277752408894,-0.04115887935516477,-0.017928924545329045,0.27071073966208853,-0.15791899783507266,-0.1214749268005076,0.037925555838460426,0.0794253359979624,0.08452473868393588,-0.025994937969179604,-0.029180926794761027,0.08634712429216844,0.06980865629857529,-0.03171151220479427,-0.0287731202250866,0.04908971582455852,0.1417755924558516,0.023038795480300845,-0.12093467412394115,0.1889209448142839,-0.12540916785883985,0.027531494865631445,-0.1389637297466456,0.08729245269084454,0.08042619163045578,-0.03694154043261657,-0.04110790353395547,0.07565221494595241,0.10027080574248085,-0.03173836553918131,-0.027851459171971977,0.09615132219100408,0.06496504300116994,-0.03704076122747039,-0.02235062189397526,0.0411884635371166,0.22554798263568948,-0.14758547064992972,-0.08988129618225985,0.13048763404681663,0.18527753902160113,-0.17920595460256453,-0.055179505894027016,0.07910537169162188,0.08999553663871997,-0.029047570405347407,-0.026951189758114825,-0.06644288667497893,-0.0761510497677863,-0.17059331652449633,0.04356748690730433,0.06894070191423476,0.10134994567183137,0.09860180273913698,-0.20841919642684217
1aay,0.1297709807518491,0.015821417431904607,-0.09037408189258513,0.03172822277287122,-0.17699049446313872,-0.22374338129110358,-0.03719064365962663,0.21741625749426952,0.04024416339354824,0.0055989212765939645,0.014374032240973271,-0.2417824790654073,-0.34703510345039545,0.004998199296643651,-0.1883506943082051,0.1344276284122447,0.08686536041810056,-0.029621787241573976,0.03302828375450543,0.09441918375357188,0.04918223297310926,-0.012147332049025312,0.01891883376696373,0.038711390293554894,0.05975229399770047,-0.0811317427215778,0.04796395196071754,0.13660502009332587,0.07112692560204494,-0.007749854732331974,-0.038123897426276164,0.031121487559888368,0.21852088840234632,-0.17595621838154257,0.015280827782279651,-0.08569879320978864,0.115511199938494,-0.17573192478942898,0.1385821711144236,0.15511315004416742,0.11018167150175763,-0.07730612386627861,0.06273485758183817,0.031677711615397924,0.05766570213541059,-0.013973550921006396,-0.03422732242119305,0.011039694524432242,0.07275591043055886,-0.0060775746259838035,0.018132302886308065,0.018737234129381154,0.10859778592098773,-0.09477396450249148,0.026951310451824882,-0.2987211813271844,0.04791043418672797,-0.008500306214792428,0.006668074109778807,0.06634520269457259,0.23212222019863876,-0.032307297113904405,-0.2785173196611677,-0.13011614032791663,-0.16035428395532553,-0.07145645077222791,-0.10640235454080897,0.10104396258551643,0.05730310418354869,-0.02025016356036713,0.023350586511942523,0.05993088701876678,0.06387857450462645,-0.007559235245200593,0.024192439136497518,0.04074987629158449,0.0717168237625367,-0.012193633943375836,0.00986290481996501,0.03573303597253998
1ubd,0.003863048272736847,-0.038158467501785136,0.005747055609201605,0.003964837815658442,0.047324480723012555,0.09474669742307815,-0.018932404587209205,-0.03732253214044672,-0.2450141857553954,0.07994667804076117,-0.018782873046280138,0.07261377738453771,0.08377144263585051,0.07423880690162231,-0.14633958300568348,0.031342621691906776,0.01904365245049077,0.017648775395498816,0.005408357661073109,-0.006211414099255434,-0.060429208779856594,0.031529536118068115,0.0466479856191708,-0.033146908899623205,0.0578515912836606,0.08036689770246846,-0.06508450398179294,-0.021700089283019853,0.025848688751386312,0.05580904448211442,-0.005989819165107535,-0.006207810929594493,0.00847465504253428,-0.05621890503104652,0.06132369564818531,-0.0652439442392896,0.02307154573521569,0.04400010631458646,-0.004383706288742886,-0.006369953564336857,0.01675473892337772,0.10820363531427922,-0.10736905114156366,0.025414957203450484,0.03485255933787136,-0.720907322686313,-0.018466244512324904,0.004427845117089418,0.024021881733288997,0.04903148234988357,-0.009731710857995226,-0.002046600367414741,0.040560880873217846,0.14008087730462818,-0.22786805252759795,0.0832057449990827,0.01329389446404346,0.06706985046497169,0.0045116188117063066,-0.009880792002716677,0.16820857086655996,0.28888682994322606,-0.0714013107936309,-0.2059824000070396,-0.0018322117725887248,0.04167651227948684,0.09125027166334208,-0.15718647487374007,0.014176220634766498,0.07723619366331796,0.008593559641345347,-0.010298309287178268,0.024284012326122487,0.02483304530320844,0.00040130302098735345,-0.004613408354627903,0.02209463636089294,0.044824331374526814,0.003278433995249097,-0.012636316000921646
